,release_year,sum,count,min,mean,max
0,2010,7569.839778,7,540.654286,1081.4056825714285,1641.426668
1,2011,9363.212907000001,10,284.819874,936.3212907000001,1953.533826
2,2012,13415.342787,10,58.054811,1341.5342787,2282.771485
3,2013,15862.499834,13,109.091573,1220.192294923077,2135.158446
4,2014,16432.612812,13,466.231982,1264.0471393846153,2280.566092
5,2015,10930.934969,11,165.484133,993.7213608181818,2123.309722
6,2016,20242.940464,18,122.763672,1124.6078035555556,2713.92235
7,2017,31457.63906,23,135.723538,1367.7234373913045,3562.54389
8,2018,15030.52239,10,599.770206,1503.052239,2887.241814
9,2019,37870.932581,36,185.240616,1051.9703494722223,3703.895074
10,2020,34703.731857,37,38.411956,937.9386988378378,2557.975762
11,2021,73808.103039,119,65.71993,620.2361599915965,2665.343922
12,2022,116402.377962,402,0.002762,289.55815413432833,2513.188493
13,2023,25808.484104,175,11.599388,147.47705202285715,1316.855716
